,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family-size
0,0,3,male,0.37254901960784315,1,0,0.12832812350652614,S,Third,man,True,Southampton,no,False,1
2,1,3,female,0.4509803921568627,0,0,0.14027591431575445,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.6274509803921569,1,0,0.939892876992626,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.6274509803921569,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
5,0,3,male,0.5235121107266435,0,0,0.1497155540765862,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,1.0,0,0,0.9179885938423741,S,First,man,True,Southampton,no,True,0
8,1,3,female,0.47058823529411764,0,2,0.19706420654278725,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,0.21568627450980393,1,0,0.5322661153572478,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,0.0196078431372549,1,1,0.2955971948357223,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,0.3333333333333333,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.7058823529411764,1,5,0.5535809741609111,S,Third,man,True,Southampton,no,False,6
14,0,3,female,0.21568627450980393,0,0,0.1390227238130976,S,Third,child,False,Southampton,no,True,0
17,1,2,male,0.5235121107266435,0,0,0.23010560077032277,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.5490196078431372,1,0,0.3186077549127546,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,0.5235121107266435,0,0,0.12788561273581397,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.6274509803921569,0,0,0.46021120154064554,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.6078431372549019,0,0,0.23010560077032277,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,0.23529411764705882,0,0,0.14212029920808272,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,0.4901960784313726,0,0,0.628365294411266,S,First,man,True,Southampton,yes,True,0
24,0,3,female,0.09803921568627451,3,1,0.37303657971035015,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.6862745098039216,1,5,0.5555722726291158,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,0.5235121107266435,0,0,0.12788561273581397,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,0.5235121107266435,0,0,0.13946523458380977,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,0.5235121107266435,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.7254901960784313,0,0,0.4906701029103049,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,0.5235121107266435,0,0,0.13717833892076933,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,0.7647058823529411,1,0,0.9204224030812911,S,First,man,True,Southampton,no,False,1
36,1,3,male,0.5235121107266435,0,0,0.12795995454529363,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,0.3529411764705882,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
38,0,3,female,0.2941176470588235,2,0,0.3186077549127546,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,0.21568627450980393,1,0,0.19898293324459518,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,0.7254901960784313,1,0,0.1677115820999083,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,0.47058823529411764,1,0,0.3717090473982137,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,0.5235121107266435,0,0,0.13975906173556266,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,0.0,1,2,0.7359697535038003,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,0.3137254901960784,0,0,0.13946523458380977,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,0.5235121107266435,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
46,0,3,male,0.5235121107266435,1,0,0.27435667784153867,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,0.5235121107266435,2,0,0.38373118001692164,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,0.2941176470588235,1,0,0.31506766874705733,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,0.07843137254901962,4,1,0.7024858485055526,S,Third,child,False,Southampton,no,False,5
51,0,3,male,0.3529411764705882,0,0,0.13806336046219364,S,Third,man,True,Southampton,no,True,0
53,1,2,female,0.5098039215686274,1,0,0.46021120154064554,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,0.5235121107266435,0,0,0.628365294411266,S,First,man,True,Southampton,yes,True,0
56,1,2,female,0.3529411764705882,0,0,0.18585452369910685,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,0.5,0,0,0.12795995454529363,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,0.0392156862745098,1,2,0.4911869554904967,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,0.1568627450980392,5,2,0.8301502058560105,S,Third,child,False,Southampton,no,False,7
60,0,3,male,0.37254901960784315,0,0,0.12795995454529363,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,0.0196078431372549,3,2,0.4938420201147696,S,Third,child,False,Southampton,no,False,5
64,0,1,male,0.5235121107266435,0,0,0.4906701029103049,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,0.5235121107266435,1,1,0.2698572283249374,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,0.5098039215686274,0,0,0.18585452369910685,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,0.3137254901960784,0,0,0.14440542482804034,S,Third,man,True,Southampton,no,True,0
68,1,3,female,0.2745098039215686,4,2,0.14027591431575445,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,0.4509803921568627,2,0,0.15332998205176313,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.5686274509803921,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
71,0,3,female,0.2549019607843137,5,2,0.8301502058560105,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,0.4509803921568627,1,0,0.25584556728110763,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.5686274509803921,0,0,1.0,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,0.4313725490196078,0,0,0.13540829583792072,S,Third,man,True,Southampton,no,True,0
79,1,3,female,0.5294117647058824,0,0,0.2208128745853674,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,0.37254901960784315,0,0,0.1593038774563773,S,Third,man,True,Southampton,no,True,0
81,1,3,male,0.5098039215686274,0,0,0.16815409287062047,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,0.5235121107266435,0,0,0.13784210507683756,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,0.4901960784313726,0,0,0.8336902920217079,S,First,man,True,Southampton,no,True,0
84,1,2,female,0.2745098039215686,0,0,0.18585452369910685,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.5882352941176471,3,0,0.2805518286315089,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,0.2549019607843137,1,3,0.6084523097292188,S,Third,man,True,Southampton,no,False,4
89,0,3,male,0.4117647058823529,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
90,0,3,male,0.5098039215686274,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
91,0,3,male,0.3333333333333333,0,0,0.1390227238130976,S,Third,man,True,Southampton,no,True,0
93,0,3,male,0.4509803921568627,1,2,0.36418636429610696,S,Third,man,True,Southampton,no,False,3
98,1,2,female,0.6078431372549019,0,1,0.4071099090551864,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.6078431372549019,1,0,0.46021120154064554,S,Second,man,True,Southampton,no,False,1
100,0,3,female,0.4901960784313726,0,0,0.13975906173556266,S,Third,woman,False,Southampton,no,True,0
103,0,3,male,0.5882352941176471,0,0,0.1531830684758867,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.6666666666666666,2,0,0.14027591431575445,S,Third,man,True,Southampton,no,False,2
105,0,3,male,0.4901960784313726,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
106,1,3,female,0.3529411764705882,0,0,0.13540829583792072,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,0.5235121107266435,0,0,0.1376208496914815,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,0.6862745098039216,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
109,1,3,female,0.5235121107266435,1,0,0.42746540450794573,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,0.8627450980392156,0,0,0.9204224030812911,S,First,man,True,Southampton,no,True,0
111,0,3,female,0.22549019607843135,1,0,0.25584556728110763,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,0.37254901960784315,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
113,0,3,female,0.3333333333333333,1,0,0.17390673288987854,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,0.2745098039215686,0,0,0.25591813904750443,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,0.3529411764705882,0,0,0.14027591431575445,S,Third,man,True,Southampton,no,True,0
117,0,2,male,0.5098039215686274,1,0,0.3717090473982137,S,Second,man,True,Southampton,no,False,1
122,0,2,male,0.5784313725490196,1,0,0.5322661153572478,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.5784313725490196,0,0,0.23010560077032277,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,0.1764705882352941,1,0,0.19898293324459518,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,0.5235121107266435,0,0,0.13717833892076933,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,0.4117647058823529,0,0,0.12641116684780107,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,0.5235121107266435,1,1,0.3957515425925467,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,0.8235294117647058,0,0,0.1234605050286924,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.5882352941176471,0,0,0.13975906173556266,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,0.3333333333333333,0,0,0.12478803734082888,S,Third,man,True,Southampton,no,True,0
132,0,3,female,0.8627450980392156,1,0,0.2566562470130523,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,0.4313725490196078,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
135,0,2,male,0.39215686274509803,0,0,0.2663171421592402,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,0.3137254901960784,0,2,0.4652257335943557,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.6666666666666666,1,0,0.939892876992626,S,First,man,True,Southampton,no,False,1
138,0,3,male,0.2549019607843137,0,0,0.16313956081691028,S,Third,man,True,Southampton,no,True,0
140,0,3,female,0.5235121107266435,0,2,0.2698572283249374,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,0.37254901960784315,0,0,0.13717833892076933,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,0.4117647058823529,1,0,0.2805518286315089,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,0.3137254901960784,0,0,0.11947790809228297,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,0.2941176470588235,0,0,0.2035549545275932,S,Second,man,True,Southampton,no,True,0
145,0,2,male,0.3137254901960784,1,1,0.6504908329468739,S,Second,man,True,Southampton,no,False,2
146,1,3,male,0.47058823529411764,0,0,0.137989018652714,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,0.1176470588235294,2,2,0.6084523097292188,S,Third,child,False,Southampton,no,False,4
148,0,2,male,0.6568627450980392,0,2,0.46021120154064554,S,Second,man,True,Southampton,no,False,2
149,0,2,male,0.7647058823529411,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
150,0,2,male,0.9411764705882353,0,0,0.22169789612679175,S,Second,man,True,Southampton,no,True,0
153,0,3,male,0.7352941176470588,0,2,0.2566562470130523,S,Third,man,True,Southampton,no,False,2
154,0,3,male,0.5235121107266435,0,0,0.12943440043330656,S,Third,man,True,Southampton,no,True,0
156,1,3,female,0.2549019607843137,0,0,0.13688274172593362,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.5294117647058824,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
158,0,3,male,0.5235121107266435,0,0,0.15332998205176313,S,Third,man,True,Southampton,no,True,0
160,0,3,male,0.803921568627451,0,1,0.2849769363386305,S,Third,man,True,Southampton,no,False,1
161,1,2,female,0.7254901960784313,0,0,0.2787817855486603,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,0.4509803921568627,0,0,0.1376208496914815,S,Third,man,True,Southampton,no,True,0
163,0,3,male,0.2745098039215686,0,0,0.15332998205176313,S,Third,man,True,Southampton,no,True,0
165,1,3,male,0.1176470588235294,0,2,0.3633013427546826,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,0.5235121107266435,0,1,0.9735236955667501,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,0.8235294117647058,1,4,0.4938420201147696,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,0.5235121107266435,0,0,0.45888366922850904,S,First,man,True,Southampton,no,True,0
169,0,3,male,0.4901960784313726,0,0,1.0,S,Third,man,True,Southampton,no,True,0
171,0,3,male,0.0196078431372549,4,1,0.5155250478796654,Q,Third,child,False,Queenstown,no,False,5
175,0,3,male,0.2941176470588235,1,1,0.1390227238130976,S,Third,man,True,Southampton,no,False,2
176,0,3,male,0.5235121107266435,3,1,0.4507715617798137,S,Third,man,True,Southampton,no,False,4
177,0,1,female,0.9215686274509803,0,0,0.5082236201629148,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.5294117647058824,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
179,0,3,male,0.6470588235294117,0,0,0.0,S,Third,man,True,Southampton,no,True,0
181,0,2,male,0.5235121107266435,0,0,0.2663914839687198,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,0.1176470588235294,4,2,0.5555722726291158,S,Third,child,False,Southampton,no,False,6
184,1,3,female,0.0196078431372549,0,2,0.3898519889974122,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,0.5235121107266435,0,0,0.8850215414243183,S,First,man,True,Southampton,no,True,0
186,1,3,female,0.5235121107266435,1,0,0.27435667784153867,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,0.8235294117647058,0,0,0.469946438496313,S,First,man,True,Southampton,yes,True,0
188,0,3,male,0.7254901960784313,1,1,0.27435667784153867,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.6470588235294117,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.5686274509803921,0,0,0.23010560077032277,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,0.3137254901960784,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
192,1,3,female,0.3137254901960784,1,0,0.1390227238130976,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,0.0,1,1,0.46021120154064554,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,0.803921568627451,0,0,0.4906701029103049,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,0.7647058823529411,0,1,0.1487579607687651,S,Third,man,True,Southampton,no,False,1
199,0,2,female,0.4117647058823529,0,0,0.23010560077032277,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,0.4901960784313726,0,0,0.16815409287062047,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.6078431372549019,0,0,0.11497845857568173,S,Third,man,True,Southampton,no,True,0
203,0,3,male,0.8333333333333333,0,0,0.12788561273581397,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,0.2941176470588235,0,0,0.14248846816931526,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,0.5686274509803921,1,0,0.2805518286315089,S,Third,man,True,Southampton,no,False,1
207,1,3,male,0.4509803921568627,0,0,0.33254684419018765,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,0.2549019607843137,0,0,0.13717833892076933,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,0.7254901960784313,0,0,0.5487133556830773,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,0.4117647058823529,0,0,0.12478803734082888,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.6274509803921569,0,0,0.3717090473982137,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,0.37254901960784315,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
214,0,3,male,0.5235121107266435,1,0,0.13717833892076933,Q,Third,man,True,Queenstown,no,False,1
216,1,3,female,0.47058823529411764,0,0,0.14027591431575445,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,0.7647058823529411,1,0,0.47791163236913187,S,Second,man,True,Southampton,no,False,1
219,0,2,male,0.5294117647058824,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
220,1,3,male,0.2549019607843137,0,0,0.14248846816931526,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,0.47058823529411764,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.9411764705882353,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
225,0,3,male,0.37254901960784315,0,0,0.16549902824634752,S,Third,man,True,Southampton,no,True,0
226,1,2,male,0.3137254901960784,0,0,0.18585452369910685,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,0.3431372549019608,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
228,0,2,male,0.2941176470588235,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
229,0,3,female,0.5235121107266435,3,1,0.4507715617798137,S,Third,woman,False,Southampton,no,False,4
231,0,3,male,0.5098039215686274,0,0,0.1376208496914815,S,Third,man,True,Southampton,no,True,0
233,1,3,female,0.0392156862745098,4,2,0.5555722726291158,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,0.4117647058823529,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
235,0,3,female,0.5235121107266435,0,0,0.13363825275507207,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,0.803921568627451,1,0,0.46021120154064554,S,Second,man,True,Southampton,no,False,1
237,1,2,female,0.09803921568627451,0,2,0.4646363092477671,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,0.3137254901960784,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.5882352941176471,0,0,0.21727278841967015,S,Second,man,True,Southampton,no,True,0
240,0,3,female,0.5235121107266435,1,0,0.25584556728110763,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,0.5098039215686274,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
243,0,3,male,0.37254901960784315,0,0,0.12611556965296536,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.5294117647058824,0,0,0.12788561273581397,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,0.4313725490196078,0,0,0.1376208496914815,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,0.4117647058823529,0,2,0.2566562470130523,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.6666666666666666,1,1,0.9302319818464382,S,First,man,True,Southampton,yes,False,2
249,0,2,male,1.0,1,0,0.46021120154064554,S,Second,man,True,Southampton,no,False,1
250,0,3,male,0.5235121107266435,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
251,0,3,female,0.5098039215686274,1,1,0.1851907575430386,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,0.5294117647058824,1,0,0.2849769363386305,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.7450980392156863,0,2,0.35776995812078066,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.5098039215686274,0,2,0.2698572283249374,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,0.9215686274509803,0,1,0.46021120154064554,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,0.0,4,2,0.5555722726291158,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,0.7254901960784313,0,0,0.0,S,First,man,True,Southampton,no,True,0
264,0,3,female,0.5235121107266435,0,0,0.13717833892076933,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.6470588235294117,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
266,0,3,male,0.2549019607843137,4,1,0.7024858485055526,S,Third,man,True,Southampton,no,False,5
